,PALAVRA,QTD_PALAVRA,PRONUNCIA,TRADUCAO
667,ASK,5,ÉSK,"['PEDIR, PERGUNTAR']"
498,FACE,5,FEIS,['ROSTO']
649,TAIL,5,TEIL,['RABO']
264,MEET,5,MIIT,['ENCONTRAR']
609,STRETCH,5,STRETCH,['ALCANCE']
739,WASH,5,UÓSH,['LAVAR']
483,INCH,5,ÊNTCH,['POLEGADA']
548,STREAM,5,STRIIM,['CORRENTE']
296,REACH,5,RIITCH,['ALCANÇAR']
23,TRAIN,5,TRÊIN,"['TREM, TREINAR']"
590,QUICK,5,QUÊK,['RÁPIDO']
444,THIN,5,THÊN,"['FINO, MAGRO']"
21,BROWN,5,BRAUN,['MARROM']
271,SHE,5,SHII,['ELA']
2,,5,,
394,LETTER,5,LETTÂR,"['LETRA, CARTA']"
561,RAISE,5,REIZ,['LEVANTAR']
439,WHITE,5,UAIT,['BRANCO']
742,STATION,5,STEISHÂN,['ESTAÇÃO']
740,BUSY,5,BÊZI,['OCUPADO']
525,GROUND,5,GRAUND,"['TERRA, AMOLADO']"
544,PHRASE,5,FREIZ,['FRASE']
288,TRAVEL,5,TRÉVÂL,['VIAJAR']
701,CHIEF,4,CHIIF,['CHEFE']
416,STRONG,4,STRÓNG,['FORTE']
284,RACE,4,REIS,"['RAÇA, CORRIDA']"
235,TOLD,4,TOULD,['CONTADO']
598,REGION,4,RIIJÂN,['REGIÃO']
538,SERVE,4,SÂRV,['SERVIR']
429,TALK,4,TÓK,['CONVERSAR']
428,GOT,4,GAT,['FICADO']
7,APPLE,4,ÉPÂL,['MAÇÃ']
434,TINY,4,TAINI,['MINÚSCULO']
387,RING,4,RÊNG,"['ANEL, TOCAR']"
720,WHEEL,4,UIIL,['RODA']
306,ENGINE,4,ENJÂN,['MOTOR']
240,PLEASE,4,PLIIZ,"['POR-FAVOR, AGRADAR']"
303,CAR,4,CAR,['CARRO']
425,SUGGEST,4,SÂGJEST,['SUGERIR']
32,SUMMER,4,SÂMÂR,['VERÃO']
771,AGREE,4,ÂGRII,['CONCORDAR']
336,GAME,4,GHEIM,['JOGO']
269,FAMILY,4,FÉMÂLI,['FAMÍLIA']
554,PARAGRAPH,4,PÉRÂGRÉF,['PARÁGRAFO']
517,THICK,4,THÊK,['GROSSO']
516,FALL,4,FÓL,"['CAIR, QUEDA, OUTONO']"
327,THOUSAND,4,THAUZÂND,['MIL']
707,SOFT,4,SAFT,['MACIO']
733,LEAVE,4,LIIV,['DEIXAR']
643,HEAVY,4,RREVI,['PESADO']
698,LOG,4,LÓG,"['LENHA, DIÁRIO']"
480,MINUTE,4,MÊNÂT,['MINUTO']
96,EXPERIENCE,4,ÊKSPIIRIÂNS,['EXPERIÊNCIA']
375,LOCATE,4,LOUKEIT,['LOCALIZAR']
623,BAR,3,BAR,"['BAR, BARRA']"
735,COLD,3,COULD,['FRIO']
647,TREE,3,TRII,['ÁRVORE']
760,INSTRUMENT,3,ÊNSTRÂMÂNT,['INSTRUMENTO']
694,SON,3,SÂN,['FILHO']
697,ROOT,3,RUUT,['RAIZ']
677,FEET,3,FIIT,['PÉS']
668,SENTENCE,3,SÊNTÂNS,['SENTENÇA']
755,COUNTRY,3,CÂNTRI,['PAÍS']
663,POOR,3,PÔR,['POBRE']
665,LIVE,3,"LÊV, LAIV","['VIVER, VIVO']"
743,ARRIVE,3,ÂRAIV,['CHEGAR']
710,BEGAN,3,BÊGÉN,['COMEÇADO']
674,NOON,3,NUUN,['MEIO-DIA']
688,MINE,3,MAIN,"['MEU, MINA']"
705,FAMOUS,3,FEIMÂS,['FAMOSO']
368,HEARD,3,RRÂRD,['OUVIDO']
617,DROP,3,DRAP,['GOTA']
553,FRIEND,3,FREND,['AMIGO']
542,SOLVE,3,SOULV,['RESOLVER']
533,SELL,3,SEL,['VENDER']
266,THANK,3,THÉNK,['AGRADECER']
528,HELD,3,RRELD,['GUARDADO']
527,GONE,3,GÓN,['IDO']
289,COAST,3,COUST,"['COSTA, LITORAL']"
526,SLEEP,3,SLIIP,['DORMIR']
522,SUBSTANCE,3,SÂBSTÂNS,['SUBSTÂNCIA']
782,BLOOD,3,BLÂD,['SANGUE']
513,CAME,3,KEIM,['CHEGADO']
508,GLASS,3,GLÉS,['VIDRO']
738,HOLE,3,RROUL,['BURACO']
373,STAND,3,STÉND,"['PERMANECER, DE-PÉ, BANCA']"
496,FLOOR,3,FLÓR,"['CHÃO, DERROTAR']"
390,SPEAK,3,SPIIK,['FALAR']
402,BAND,3,BÉND,['BANDA']
455,CHARGE,3,CHARDJ,"['CARGA, COBRANÇA']"
547,CIRCLE,3,SÂRKÂL,['CÍRCULO']
443,GREEN,3,GRIIN,['VERDE']
238,WENT,3,UENT,['FOI']
110,SUCCESS,3,SÂKSES,['SUCESSO']
607,KIND,3,KAIND,"['BOM, TIPO']"
241,PERSON,2,PÂRSÂN,['PESSOA']
788,RIVER,2,RÊVÂR,['RIO']
778,FELT,2,FEÓLT,['SENTIDO']
106,FEEL,2,FIIÓL,"['SENTIR, SENTIMENDO']"
731,PLAIN,2,PLEIN,"['PLANO, SIMPLES']"
690,USUAL,2,IUZHUÂL,"['USUAL, COMUM']"
686,ME,2,MII,"['ME, EU']"
51,CAPITAL,2,KÉPÊTÂL,['CAPITAL']
696,THROW,2,THROU,['ARREMESSAR']
412,DEVELOP,2,DÊVELÂP,['DESENVOLVER']
776,FAVOR,2,FEIVÂR,"['FAVOR, FAVORECER']"
441,RED,2,RED,['VERMELHO']
442,BLUE,2,BLUU,['AZUL']
750,GAVE,2,GHEIV,['DADO']
699,PROVE,2,PRUUV,['PROVAR']
713,CHART,2,TCHART,['GRÁFICO']
728,GREW,2,GRUU,['CRESCIDO']
727,HEART,2,RRÓRT,['CORAÇÃO']
135,KNEW,2,NUU,['SABIDO']
143,HAPPY,2,RRÉPI,['FELIZ']
723,PREPARE,2,PRÊPÉR,['PREPARAR']
744,IMAGINE,2,ÊMÉDJÂN,['IMAGINAR']
185,HOPE,2,RROUP,['ESPERANÇA']
213,BORN,2,BÓRN,['NASCIDO']
719,SEAT,2,SIIT,['ASSENTO']
219,WOMEN,2,UÊMÂN,['MULHERES']
611,TOOL,2,TUUL,['FERRAMENTA']
255,VALLEY,2,VÉLI,['VALE']
237,TEACH,2,TIITCH,['ENSINAR']
715,TEAM,2,TIIM,['GRUPO']
259,HILL,2,RRÊL,['COLINA']
736,WEIGHT,2,UEIT,['PESO']
662,CHANCE,2,TCHÉNS,"['CHANCE, ACASO']"
507,ELECTRIC,2,ÊLEKTRÊK,['ELÉTRICO']
565,SPEECH,2,SPIITCH,['DISCURSO']
560,VILLAGE,2,VÊLÂJ,['VILA']
557,OFFICE,2,AFÂS,"['ESCRITÓRIO, FUNÇÃO']"
639,FLY,2,FLAI,"['VOAR, MOSCA']"
638,INVENT,2,ÊNVENT,['INVENTAR']
540,SHAPE,2,SHEIP,['FORMA']
571,BUY,2,BAI,['COMPRAR']
537,ROAD,2,ROUD,['ESTRADA']
634,RAN,2,RÉN,['CORRIDO']
578,PLAY,2,PLEI,"['PEÇA, TOCAR']"
529,POSE,2,POUZ,['POSIÇÃO']
514,SAND,2,SÉND,['AREIA']
641,CLEAN,2,CLIIN,['LIMPO']
631,STUDY,2,STÂDI,['ESTUDO']
568,MY,2,MAI,['MEU']
671,FINISH,2,FÊNISH,"['FIM, FINALIZAR']"
772,PARTY,2,PARTY,"['PARTIDO, FESTA']"
775,CENTURY,2,CENTRI,['SÉCULO']
500,RISE,2,RAIZ,['LEVANTAR']
499,HUNDRED,2,RRÂNDRÂD,['CEM']
761,INSTANT,2,ÊNSTÂNT,['INSTANTE']
676,FISH,2,FÊSH,"['PEIXE, PESCAR']"
756,DEATH,2,DETH,['MORTE']
479,MUSIC,2,MIUZÊK,['MÚSICA']
474,COOL,2,CUUL,['FRIO']
765,PAINT,1,PEINT,['PINTAR']
769,EAR,1,IIR,"['ORELHA, ESPIGA']"
790,SPRING,1,SPRÊNG,"['PRIMAVERA, MOLA']"
787,LIE,1,LAI,"['DEITAR, MENTIR']"
768,DICTIONARY,1,DÊKSHÂNÂRI,['DICIONÁRIO']
764,TROUBLE,1,TRÂBÂL,['PREOCUPAÇÃO']
767,YELLOW,1,YELOU,['AMARELO']
789,SLAVE,1,SLEIV,['ESCRAVO']
766,WARM,1,UÓRM,['QUENTE']
763,PULL,1,PÔL,['PUXAR']
754,YOUNG,1,YÂNG,['JOVEM']
786,STONE,1,STOUN,['PEDRA']
770,SPREAD,1,SPRED,['ESPALHAR']
745,WEAR,1,UÉR,['USAR']
774,STAY,1,STEI,['FICAR']
777,CAUGHT,1,CÓT,['PEGO']
757,SKILL,1,SKÊL,['HABILIDADE']
779,STRANGE,1,STREINDJ,['ESTRANHO']
758,VOICE,1,VOIS,['VOZ']
780,ORGAN,1,ÓRGÂN,['ÓRGÃO']
781,ENTER,1,ENTTÂR,['ENTRAR']
759,HUNT,1,RRÂNT,['CAÇAR']
749,FEAR,1,FIIR,"['MEDO, TEMER']"
783,CONTINENT,1,CANTÂNÂNT,['CONTINENTE']
748,ARRANGE,1,ÂREINDJ,['ARRANJAR']
785,JOY,1,JÓI,['ALEGRIA']
752,AM,1,ÉM,"['SOU, ESTOU']"
747,DARK,1,DARK,['ESCURO']
746,PRETTY,1,PRÊTI,"['BELO, MUITO']"
753,MONTH,1,MÂNT,['MÊS']
791,REPLY,1,RÊPLAI,['RESPOSTA']
737,SLIP,1,SLÊP,['ESCORREGAR']
337,SHIP,1,SHÊP,"['NAVIO, EMBARCAR']"
573,SHARP,1,SHARP,"['AGUDO, SUSTENIDO']"
570,KING,1,KÊNG,['REI']
569,HORSE,1,RRÓRS,['CAVALO']
567,MEN,1,MÊN,['HOMENS']
530,STEAM,1,STIIM,['VAPOR']
504,WIN,1,UÊN,['GANHAR']
501,RADIO,1,REIDIIOU,['RÁDIO']
468,CORNER,1,CÓRNÂR,['ESQUINA']
453,FATHER,1,FÓDHÂR,['PAI']
431,BALL,1,BÓL,['BOLA']
389,SPOKE,1,SPOUK,"['FALADO, RAIO']"
330,OIL,1,OIL,"['ÓLEO, PETRÓLEO']"
734,FIRE,1,FAIR,"['FOGO, INCÊNDIO, DESPEDIR']"
329,WEATHER,1,UEDHÂR,['TEMPO']
294,EVENING,1,IIVNÊNG,['NOITE']
292,MOMENT,1,MOUMÂNT,['MOMENTO']
263,WOOD,1,UÔD,['MADEIRA']
260,MOUNTAIN,1,MAUNTÂN,['MONTANHA']
257,CLOUD,1,CLAUD,['NUVEM']
256,ROCK,1,RAK,"['ROQUE, ROCHA']"
154,TIE,1,TAI,['AMARRAR']
68,VISIT,1,VÊZÂT,['VISITA']
36,STREET,1,STRIIT,['RUA']
15,PROPERTY,1,PRAPÂTTI,['PROPRIEDADE']
580,DOLLAR,1,DALÂR,['DÓLAR']
588,CAMP,1,KÉMP,['CAMPO']
593,STRAIGHT,1,STREIT,['RETO']
594,ATOM,1,ÉTÂM,['ÁTOMO']
732,DON'T,1,DOUNT,['NÃO']
730,LAND,1,LÉND,['TERRA']
729,HOUSE,1,RRAUS,['CASA']
725,BROKE,1,BROUK,['QUEBRADO']
722,BROAD,1,BRÓD,['AMPLO']
712,WAVE,1,UEIV,['ONDA']
711,OBSERVE,1,ÂBZÂRV,['OBSERVAR']
709,BEAR,1,BÉR,"['URSO, CARREGAR']"
706,SIT,1,SÊT,['SENTAR']
703,MONEY,1,MÂNI,['DINHEIRO']
695,STEAD,1,STED,['LOCAL']
693,PRINT,1,PRÊNT,['IMPRIMIR']
681,SEA,1,SII,['MAR']
680,OCEAN,1,OUSHÂN,['OCEANO']
679,HER,1,RRÂR,['DELA']
678,EAST,1,IIST,['LESTE']
675,CATCH,1,KÉTCH,['PEGAR']
669,FIG,1,FÊG,['FIGO']
664,FAIR,1,FÉR,"['FEIRA, CLARO']"
656,LOVE,1,LÂV,"['AMOR, AMAR']"
630,SUFFIX,1,SÂFÊKS,['SUFIXO']
627,STICK,1,STÊK,"['VARETA, FINCAR']"
624,POEM,1,POUÊM,['POEMA']
0,,0,,
